Target Profit,Stop Loss,Total Profit,Success Trades,Failed Trades
0,0,0.0,0,2627
0,1,-2421.0,206,2421
0,2,-4542.0,356,2271
0,3,-6318.0,521,2106
0,4,-7884.0,656,1971
0,5,-9195.0,788,1839
0,6,-10350.0,902,1725
0,7,-11179.0,1030,1597
0,8,-12088.0,1116,1511
0,9,-12753.0,1210,1417
0,10,-13280.0,1299,1328
0,11,-13684.0,1383,1244
0,12,-13812.0,1476,1151
0,13,-14040.0,1547,1080
0,14,-14140.0,1617,1010
0,15,-14145.0,1684,943
0,16,-13904.0,1758,869
0,17,-13821.0,1814,813
0,18,-13482.0,1878,749
0,19,-13224.0,1931,696
0,20,-12920.0,1981,646
0,21,-12747.0,2020,607
0,22,-12254.0,2070,557
0,23,-12213.0,2096,531
0,24,-11856.0,2133,494
0,25,-11425.0,2170,457
0,26,-10998.0,2204,423
0,27,-10503.0,2238,389
0,28,-10052.0,2268,359
0,29,-9599.0,2296,331
0,30,-9270.0,2318,309
0,31,-9052.0,2335,292
0,32,-8768.0,2353,274
0,33,-8382.0,2373,254
0,34,-7990.0,2392,235
0,35,-7735.0,2406,221
0,36,-7164.0,2428,199
0,37,-6697.0,2446,181
0,38,-6460.0,2457,170
0,39,-6357.0,2464,163
0,40,-5960.0,2478,149
0,41,-5781.0,2486,141
0,42,-5544.0,2495,132
0,43,-5246.0,2505,122
0,44,-5016.0,2513,114
0,45,-4725.0,2522,105
0,46,-4508.0,2529,98
0,47,-4324.0,2535,92
0,48,-4032.0,2543,84
0,49,-3920.0,2547,80
0,50,-3800.0,2551,76
0,51,-3774.0,2553,74
0,52,-3432.0,2561,66
0,53,-3392.0,2563,64
0,54,-3294.0,2566,61
0,55,-3300.0,2567,60
0,56,-3024.0,2573,54
0,57,-3021.0,2574,53
0,58,-3074.0,2574,53
0,59,-2832.0,2579,48
0,60,-2880.0,2579,48
0,61,-2928.0,2579,48
0,62,-2852.0,2581,46
0,63,-2772.0,2583,44
0,64,-2688.0,2585,42
0,65,-2600.0,2587,40
0,66,-2442.0,2590,37
0,67,-2479.0,2590,37
0,68,-2448.0,2591,36
0,69,-2346.0,2593,34
0,70,-2240.0,2595,32
0,71,-2059.0,2598,29
0,72,-2016.0,2599,28
0,73,-2044.0,2599,28
0,74,-2072.0,2599,28
0,75,-2025.0,2600,27
0,76,-1976.0,2601,26
0,77,-1925.0,2602,25
0,78,-1872.0,2603,24
0,79,-1738.0,2605,22
0,80,-1760.0,2605,22
0,81,-1701.0,2606,21
0,82,-1558.0,2608,19
0,83,-1494.0,2609,18
0,84,-1512.0,2609,18
0,85,-1530.0,2609,18
0,86,-1462.0,2610,17
0,87,-1479.0,2610,17
0,88,-1320.0,2612,15
0,89,-1246.0,2613,14
0,90,-1170.0,2614,13
0,91,-1183.0,2614,13
0,92,-1196.0,2614,13
0,93,-1209.0,2614,13
0,94,-1222.0,2614,13
0,95,-1235.0,2614,13
0,96,-1248.0,2614,13
0,97,-1164.0,2615,12
0,98,-1176.0,2615,12
0,99,-1089.0,2616,11
1,0,0.0,0,2627
1,1,-2240.0,181,2446
1,2,-4219.0,327,2300
1,3,-5836.0,490,2137
1,4,-7267.0,625,2002
1,5,-8446.0,757,1870
1,6,-9487.0,871,1756
1,7,-10200.0,997,1630
1,8,-11029.0,1082,1545
1,9,-11612.0,1174,1453
1,10,-12073.0,1260,1367
1,11,-12421.0,1340,1287
1,12,-12496.0,1429,1198
1,13,-12696.0,1495,1132
1,14,-12762.0,1561,1066
1,15,-12737.0,1624,1003
1,16,-12534.0,1689,938
1,17,-12447.0,1740,887
1,18,-12098.0,1800,827
1,19,-11887.0,1846,781
1,20,-11658.0,1888,739
1,21,-11492.0,1924,703
1,22,-11097.0,1964,663
1,23,-11113.0,1985,642
1,24,-10761.0,2019,608
1,25,-10375.0,2050,577
1,26,-10003.0,2080,547
1,27,-9551.0,2110,517
1,28,-9100.0,2138,489
1,29,-8747.0,2159,468
1,30,-8451.0,2178,449
1,31,-8277.0,2193,434
1,32,-8029.0,2208,419
1,33,-7702.0,2225,402
1,34,-7402.0,2240,387
1,35,-7161.0,2253,374
1,36,-6714.0,2270,357
1,37,-6348.0,2284,343
1,38,-6121.0,2294,333
1,39,-6011.0,2301,326
1,40,-5681.0,2312,315
1,41,-5494.0,2320,307
1,42,-5324.0,2327,300
1,43,-5147.0,2333,294
1,44,-4979.0,2339,288
1,45,-4718.0,2347,280
1,46,-4528.0,2353,274
1,47,-4368.0,2358,269
1,48,-4159.0,2364,263
1,49,-4087.0,2367,260
1,50,-4004.0,2370,257
1,51,-3976.0,2372,255
1,52,-3626.0,2380,247
1,53,-3584.0,2382,245
1,54,-3483.0,2385,242
1,55,-3488.0,2386,241
1,56,-3346.0,2389,238
1,57,-3392.0,2389,238
1,58,-3445.0,2389,238
1,59,-3254.0,2393,234
1,60,-3302.0,2393,234
1,61,-3350.0,2393,234
1,62,-3272.0,2395,232
1,63,-3190.0,2397,230
1,64,-3104.0,2399,228
1,65,-3014.0,2401,226
1,66,-2853.0,2404,223
1,67,-2890.0,2404,223
1,68,-2858.0,2405,222
1,69,-2754.0,2407,220
1,70,-2646.0,2409,218
1,71,-2462.0,2412,215
1,72,-2487.0,2412,215
1,73,-2515.0,2412,215
1,74,-2543.0,2412,215
1,75,-2495.0,2413,214
1,76,-2445.0,2414,213
1,77,-2393.0,2415,212
1,78,-2339.0,2416,211
1,79,-2203.0,2418,209
1,80,-2225.0,2418,209
1,81,-2165.0,2419,208
1,82,-2020.0,2421,206
1,83,-1955.0,2422,205
1,84,-1973.0,2422,205
1,85,-1991.0,2422,205
1,86,-1922.0,2423,204
1,87,-1939.0,2423,204
1,88,-1778.0,2425,202
1,89,-1703.0,2426,201
1,90,-1626.0,2427,200
1,91,-1639.0,2427,200
1,92,-1652.0,2427,200
1,93,-1665.0,2427,200
1,94,-1678.0,2427,200
1,95,-1691.0,2427,200
1,96,-1704.0,2427,200
1,97,-1619.0,2428,199
1,98,-1631.0,2428,199
1,99,-1543.0,2429,198
2,0,0.0,0,2627
2,1,-2062.0,178,2449
2,2,-3896.0,323,2304
2,3,-5351.0,485,2142
2,4,-6647.0,620,2007
2,5,-7694.0,752,1875
2,6,-8621.0,866,1761
2,7,-9224.0,988,1639
2,8,-9968.0,1073,1554
2,9,-10459.0,1165,1462
2,10,-10872.0,1245,1382
2,11,-11167.0,1321,1306
2,12,-11200.0,1403,1224
2,13,-11351.0,1467,1160
2,14,-11384.0,1530,1097
2,15,-11343.0,1588,1039
2,16,-11133.0,1648,979
2,17,-11026.0,1697,930
2,18,-10649.0,1754,873
2,19,-10476.0,1794,833
2,20,-10282.0,1831,796
2,21,-10143.0,1862,765
2,22,-9793.0,1897,730
2,23,-9865.0,1914,713
2,24,-9517.0,1946,681
2,25,-9152.0,1973,654
2,26,-8874.0,1996,631
2,27,-8462.0,2021,606
2,28,-8079.0,2045,582
2,29,-7705.0,2066,561
2,30,-7458.0,2082,545
2,31,-7337.0,2094,533
2,32,-7102.0,2107,520
2,33,-6860.0,2120,507
2,34,-6627.0,2132,495
2,35,-6405.0,2144,483
2,36,-5971.0,2160,467
2,37,-5631.0,2172,455
2,38,-5394.0,2182,445
2,39,-5298.0,2188,439
2,40,-5019.0,2197,430
2,41,-4837.0,2204,423
2,42,-4701.0,2209,418
2,43,-4549.0,2214,413
2,44,-4458.0,2217,410
2,45,-4253.0,2223,404
2,46,-4138.0,2227,400
2,47,-4017.0,2231,396
2,48,-3802.0,2237,390
2,49,-3727.0,2240,387
2,50,-3641.0,2243,384
2,51,-3611.0,2245,382
2,52,-3281.0,2252,375
2,53,-3237.0,2254,373
2,54,-3133.0,2257,370
2,55,-3137.0,2258,369
2,56,-2992.0,2261,366
2,57,-3038.0,2261,366
2,58,-3091.0,2261,366
2,59,-2947.0,2264,363
2,60,-2995.0,2264,363
2,61,-3043.0,2264,363
2,62,-2963.0,2266,361
2,63,-2879.0,2268,359
2,64,-2791.0,2270,357
2,65,-2699.0,2272,355
2,66,-2535.0,2275,352
2,67,-2572.0,2275,352
2,68,-2539.0,2276,351
2,69,-2433.0,2278,349
2,70,-2323.0,2280,347
2,71,-2136.0,2283,344
2,72,-2161.0,2283,344
2,73,-2189.0,2283,344
2,74,-2217.0,2283,344
2,75,-2168.0,2284,343
2,76,-2117.0,2285,342
2,77,-2064.0,2286,341
2,78,-2009.0,2287,340
2,79,-1871.0,2289,338
2,80,-1893.0,2289,338
2,81,-1832.0,2290,337
2,82,-1685.0,2292,335
2,83,-1619.0,2293,334
2,84,-1637.0,2293,334
2,85,-1655.0,2293,334
2,86,-1585.0,2294,333
2,87,-1602.0,2294,333
2,88,-1520.0,2295,332
2,89,-1444.0,2296,331
2,90,-1366.0,2297,330
2,91,-1379.0,2297,330
2,92,-1392.0,2297,330
2,93,-1405.0,2297,330
2,94,-1418.0,2297,330
2,95,-1431.0,2297,330
2,96,-1444.0,2297,330
2,97,-1358.0,2298,329
2,98,-1370.0,2298,329
2,99,-1348.0,2298,329
3,0,0.0,0,2627
3,1,-1887.0,175,2452
3,2,-3576.0,320,2307
3,3,-4873.0,481,2146
3,4,-6045.0,614,2013
3,5,-6970.0,744,1883
3,6,-7783.0,858,1769
3,7,-8272.0,978,1649
3,8,-8939.0,1061,1566
3,9,-9375.0,1148,1479
3,10,-9726.0,1225,1402
3,11,-9978.0,1296,1331
3,12,-9994.0,1370,1257
3,13,-10128.0,1429,1198
3,14,-10138.0,1489,1138
3,15,-10075.0,1544,1083
3,16,-9850.0,1599,1028
3,17,-9717.0,1646,981
3,18,-9297.0,1701,926
3,19,-9097.0,1738,889
3,20,-8939.0,1771,856
3,21,-8769.0,1802,825
3,22,-8448.0,1832,795
3,23,-8563.0,1846,781
3,24,-8235.0,1875,752
3,25,-7867.0,1901,726
3,26,-7621.0,1921,706
3,27,-7296.0,1940,687
3,28,-6915.0,1963,664
3,29,-6565.0,1982,645
3,30,-6380.0,1995,632
3,31,-6247.0,2007,620
3,32,-6006.0,2019,608
3,33,-5766.0,2031,596
3,34,-5588.0,2040,587
3,35,-5389.0,2051,576
3,36,-4975.0,2066,561
3,37,-4721.0,2075,552
3,38,-4474.0,2085,542
3,39,-4372.0,2091,536
3,40,-4084.0,2100,527
3,41,-3936.0,2106,521
3,42,-3795.0,2111,516
3,43,-3638.0,2116,511
3,44,-3544.0,2119,508
3,45,-3333.0,2125,502
3,46,-3250.0,2128,499
3,47,-3173.0,2131,496
3,48,-3046.0,2135,492
3,49,-2968.0,2138,489
3,50,-2879.0,2141,486
3,51,-2847.0,2143,484
3,52,-2510.0,2150,477
3,53,-2464.0,2152,475
3,54,-2357.0,2155,472
3,55,-2360.0,2156,471
3,56,-2212.0,2159,468
3,57,-2258.0,2159,468
3,58,-2311.0,2159,468
3,59,-2224.0,2161,466
3,60,-2272.0,2161,466
3,61,-2320.0,2161,466
3,62,-2238.0,2163,464
3,63,-2152.0,2165,462
3,64,-2062.0,2167,460
3,65,-1968.0,2169,458
3,66,-1801.0,2172,455
3,67,-1838.0,2172,455
3,68,-1804.0,2173,454
3,69,-1765.0,2174,453
3,70,-1653.0,2176,451
3,71,-1463.0,2179,448
3,72,-1488.0,2179,448
3,73,-1516.0,2179,448
3,74,-1544.0,2179,448
3,75,-1494.0,2180,447
3,76,-1442.0,2181,446
3,77,-1388.0,2182,445
3,78,-1332.0,2183,444
3,79,-1192.0,2185,442
3,80,-1214.0,2185,442
3,81,-1152.0,2186,441
3,82,-1079.0,2187,440
3,83,-1012.0,2188,439
3,84,-1030.0,2188,439
3,85,-1048.0,2188,439
3,86,-977.0,2189,438
3,87,-994.0,2189,438
3,88,-911.0,2190,437
3,89,-834.0,2191,436
3,90,-755.0,2192,435
3,91,-768.0,2192,435
3,92,-781.0,2192,435
3,93,-794.0,2192,435
3,94,-807.0,2192,435
3,95,-820.0,2192,435
3,96,-833.0,2192,435
3,97,-746.0,2193,434
3,98,-758.0,2193,434
3,99,-736.0,2193,434
4,0,0.0,0,2627
4,1,-1714.0,173,2454
4,2,-3258.0,318,2309
4,3,-4397.0,478,2149
4,4,-5436.0,611,2016
4,5,-6233.0,740,1887
4,6,-6935.0,853,1774
4,7,-7329.0,969,1658
4,8,-7945.0,1046,1581
4,9,-8294.0,1133,1494
4,10,-8602.0,1206,1421
4,11,-8842.0,1270,1357
4,12,-8831.0,1336,1291
4,13,-8934.0,1392,1235
4,14,-8927.0,1447,1180
4,15,-8920.0,1493,1134
