ticker,company_name,public_price,current_price,price_change,price_change_percentage
302A.T,（株）ビースタイルホールディングス,2070.0,1282.0,-788.0,-38.067632850241544
298A.T,ＧＶＡ　ＴＥＣＨ（株）,690.0,526.0,-164.0,-23.768115942028984
303A.T,（株）ｖｉｓｕｍｏ,770.0,1038.0,268.0,34.80519480519481
304A.T,フォルシア（株）,1750.0,2019.0,269.0,15.371428571428572
297A.T,アルピコホールディングス（株）,191.0,234.0,43.0,22.5130890052356
300A.T,MIC（株）,960.0,1796.0,836.0,87.08333333333333
296A.T,令和アカウンティング・ホールディングス（株）,360.0,709.0,349.0,96.94444444444444
290A.T,（株）Synspective,480.0,1381.0,901.0,187.70833333333334
299A.T,dely（株）,1200.0,1212.0,12.0,1.0
285A.T,キオクシアホールディングス（株）（※）,1455.0,1782.0,327.0,22.474226804123713
287A.T,黒田グループ（株）,700.0,886.0,186.0,26.571428571428573
291A.T,（株）リスキル,3730.0,3210.0,-520.0,-13.941018766756033
288A.T,ラクサス・テクノロジーズ（株）,281.0,171.0,-110.0,-39.14590747330961
286A.T,（株）ユカリア,1060.0,1013.0,-47.0,-4.433962264150943
7075.T,（株）ＱＬＳホールディングス,835.0,705.0,-130.0,-15.568862275449103
281A.T,インフォメティス（株）,1080.0,702.0,-378.0,-35.0
280A.T,（株）ＴＭＨ,1500.0,1357.0,-143.0,-9.533333333333333
277A.T,グロービング（株）,4530.0,1800.0,-2730.0,-60.264900662251655
278A.T,Terra Drone（株）,2350.0,7840.0,5490.0,233.61702127659575
276A.T,ククレブ・アドバイザーズ（株）,950.0,3750.0,2800.0,294.7368421052631
274A.T,（株）ガーデン,3200.0,2437.0,-763.0,-23.84375
269A.T,（株）Sapeet,1500.0,2500.0,1000.0,66.66666666666666
265A.T,Ｈｍｃｏｍｍ（株）,850.0,723.0,-127.0,-14.941176470588236
268A.T,リガク・ホールディングス（株）,1260.0,801.0,-459.0,-36.42857142857142
9023.T,東京地下鉄（株）,1200.0,2024.5,824.5,68.70833333333334
264A.T,（株）Ｓｃｈｏｏ,690.0,1506.0,816.0,118.26086956521739
262A.T,（株）インターメスティック,1630.0,1567.0,-63.0,-3.8650306748466257
261A.T,（株）日水コン,1430.0,2052.0,622.0,43.4965034965035
