ticker,company_name,public_price,first_open_price,price_10_days,price_30_days,price_60_days,price_90_days,price_180_days,current_price
212A.T,フィットイージー（株）,990.0,1201.3125389840964,712.072265625,1188.437744140625,1371.6552734375,1739.0,1474.0,1485.0
211A.T,（株）カドス・コーポレーション,2900.0,3107.732493390941,2573.0,2230.0,2685.0,2664.0,3080.0,3515.0
206A.T,（株）PRISM BioLab,450.0,489.0,532.0,529.0,444.0,323.0,280.0,267.0
205A.T,（株）ロゴスホールディングス,2290.0,2290.0,2033.0,2382.0,2860.0,2192.0,1214.0,961.0
202A.T,（株）豆蔵デジタルホールディングス,1330.0,1290.3860586221936,1289.4287109375,1167.8568115234375,1286.5570068359375,1219.548828125,1351.650634765625,1289.0
196A.T,（株）ＭＦＳ,400.0,368.0,349.0,310.0,259.0,289.0,410.0,486.0
194A.T,（株）WOLVES HAND,770.0,875.0,930.0,887.0,1011.0,891.0,709.0,677.0
197A.T,（株）タウンズ,460.0,414.59587006125076,405.8375549316406,438.5025329589844,535.5076293945312,542.4365234375,523.0,498.0
198A.T,ＰｏｓｔＰｒｉｍｅ（株）,450.0,450.0,1119.0,757.0,840.0,676.0,602.0,518.0
195A.T,（株）ライスカレー,1420.0,1560.0,1284.0,1257.0,1137.0,877.0,825.0,837.0
192A.T,インテグループ（株）,3960.0,5940.0,6050.0,4600.0,4350.0,3585.0,3605.0,2711.0
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ（株）,153.0,255.0,186.0,715.0,666.0,248.0,256.0,257.0
189A.T,（株）Ｄ＆Ｍカンパニー,1000.0,1308.0,1060.0,1001.0,871.0,846.0,816.0,784.0
186A.T,（株）アストロスケールホールディングス,850.0,1281.0,1040.0,781.0,1060.0,1146.0,832.0,770.0
184A.T,（株）学びエイド,970.0,1282.0,837.0,905.0,810.0,682.0,500.0,392.0
177A.T,コージンバイオ（株）,1900.0,2014.140625,1664.890625,1689.6953125,2286.0,1780.9765625,1527.96875,1657.0
176A.T,レジル（株）,1200.0,1205.0,1055.0,1528.0,1453.0,1438.0,1828.0,1824.0
175A.T,（株）Will Smart,1656.0,1580.0,1524.0,1302.0,1264.0,1400.0,936.0,771.0
173A.T,（株）ハンモック,2060.0,2119.296391599238,1631.6619873046875,1363.8065185546875,1340.2587890625,1090.0640869140625,1448.1859130859375,1523.0
168A.T,（株）イタミアート,1600.0,1958.4632259875928,1331.7550048828125,1326.8587646484375,1422.823486328125,1035.0478515625,883.2669067382812,927.0
160A.T,（株）アズパートナーズ,1920.0,2852.851119560591,1737.2818603515625,2128.658203125,2310.1943359375,1875.8740234375,1697.2657470703125,1936.0
156A.T,マテリアルグループ（株）,1180.0,1052.1617077429037,898.9437255859375,838.8201904296875,946.460693359375,697.2389526367188,562.0,621.0
157A.T,グリーンモンスター（株）,980.0,1683.543087208765,1097.27392578125,1142.82861328125,1002.2032470703125,702.0,565.0,530.0
153A.T,（株）カウリス,1530.0,2875.0,3525.0,2400.0,2250.0,1370.0,1569.0,892.0
155A.T,（株）情報戦略テクノロジー,460.0,1021.0,733.0,598.0,718.0,412.0,537.0,404.0
146A.T,コロンビア・ワークス（株）,3300.0,3745.0,4200.0,3570.0,4185.0,2306.0,3850.0,3930.0
149A.T,（株）シンカ,1320.0,1671.0,1156.0,949.0,855.0,580.0,747.0,1181.0
151A.T,（株）ダイブ,1820.0,1075.0,1021.6666870117188,1028.3333740234375,1186.6666259765625,833.3333129882812,927.3333129882812,849.0
145A.T,（株）L is B,1188.0,1553.0,1000.0,997.0,874.0,768.0,630.0,568.0
147A.T,（株）ソラコム,870.0,1563.0,2014.0,1809.0,1560.0,1166.0,992.0,800.0
148A.T,（株）ハッチ・ワーク,2160.0,2815.0,2149.0,2399.0,1933.0,2260.0,2050.0,1403.0
150A.T,（株）ＪＳＨ,456.0,893.0,595.0,692.0,593.0,660.0,460.0,525.0
143A.T,イシン（株）,1080.0,2234.0,1490.0,1425.0,1120.0,884.0,872.0,917.0
142A.T,（株）ジンジブ,1750.0,1990.0,1431.5,1325.0,1585.0,1490.5,583.0,513.0
141A.T,（株）トライアルホールディングス,1700.0,2201.8936656605115,2811.266357421875,2724.78125,2741.6806640625,2698.0,2927.0,2329.0
5858.T,（株）ＳＴＧ,1920.0,1607.5,1158.5,1060.0,1251.5,1043.0,1362.0,1282.0
137A.T,Cocolive（株）,1780.0,3990.0,1930.0,1622.0,1500.0,1511.0,1056.0,1330.0
138A.T,光フードサービス（株）,2660.0,5799.35057033746,4465.99560546875,5065.7578125,4639.48046875,4193.37646484375,2403.012939453125,1659.0
135A.T,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2990.0,5190.0,6990.0,4810.0,4100.0,3595.0,1941.0,2760.0
130A.T,（株）Veritas In Silico,1000.0,2001.0,2528.0,1615.0,1403.0,1080.0,940.0,697.0
5871.T,SOLIZE（株）,1470.0,1958.1497899615576,4071.400634765625,2922.68408203125,2647.3798828125,2122.944580078125,1624.6827392578125,1641.0
5892.T,（株）yutori,2520.0,943.0,847.3333129882812,943.6666870117188,2820.0,2096.0,2504.0,2145.0
5870.T,（株）ナルネットコミュニケーションズ,1040.0,914.6594962565105,991.2000122070312,865.8649291992188,869.6919555664062,760.8648681640625,573.0811157226562,489.0
9223.T,（株）ASNOVA,1091.0,544.7375277116965,542.7476196289062,522.8485107421875,569.1138916015625,590.0233154296875,594.0099487304688,592.0
5621.T,（株）ヒューマンテクノロジーズ,1224.0,1170.69590828188,1304.04150390625,1319.729248046875,1362.8704833984375,1133.591064453125,1367.03564453125,1450.0
5869.T,（株）早稲田学習研究会,970.0,1010.481973509475,1012.2897338867188,1032.1739501953125,1029.46240234375,1018.9783325195312,973.479736328125,1020.0
5619.T,マーソ（株）,2260.0,2079.0,2164.0,2035.0,1585.0,1411.0,1143.0,920.0
5618.T,ナイル（株）,1680.0,1540.0,961.0,1010.0,1066.0,988.0,379.0,270.0
5868.T,（株）ロココ,1128.0,1080.5653574358591,1157.0,1100.0,1250.0,1057.0,786.0,786.0
