ticker,company_name,net_return_30_days_without_fees,net_return_30_days_with_fees
212A.T,フィットイージー（株）,56.0,-239.10999999999999
211A.T,（株）カドス・コーポレーション,1027.0,321.30999999999995
206A.T,（株）PRISM BioLab,110.0,-42.96999999999998
205A.T,（株）ロゴスホールディングス,361.0,-386.69999999999993
202A.T,（株）豆蔵デジタルホールディングス,133.0,-278.51000000000005
196A.T,（株）ＭＦＳ,35.0,-70.35000000000001
194A.T,（株）WOLVES HAND,107.0,-185.37000000000003
197A.T,（株）タウンズ,18.0,-115.19
198A.T,ＰｏｓｔＰｒｉｍｅ（株）,254.0,-43.610000000000056
195A.T,（株）ライスカレー,214.0,-169.09999999999997
192A.T,インテグループ（株）,280.0,-1508.85
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ（株）,-30.0,-120.8
189A.T,（株）Ｄ＆Ｍカンパニー,303.0,-12.22000000000003
186A.T,（株）アストロスケールホールディングス,611.0,312.65999999999997
184A.T,（株）学びエイド,608.0,309.44
177A.T,コージンバイオ（株）,197.0,-324.2900000000001
176A.T,レジル（株）,-267.0,-636.05
175A.T,（株）Will Smart,261.0,-172.38000000000002
173A.T,（株）ハンモック,720.0,225.05999999999997
168A.T,（株）イタミアート,557.0,127.72999999999999
160A.T,（株）アズパートナーズ,486.0,-109.38999999999993
156A.T,マテリアルグループ（株）,59.0,-228.06999999999996
157A.T,グリーンモンスター（株）,445.0,108.87999999999997
153A.T,（株）カウリス,696.0,-221.8599999999999
155A.T,（株）情報戦略テクノロジー,202.0,-12.39
146A.T,コロンビア・ワークス（株）,1065.0,-108.30000000000007
149A.T,（株）シンカ,766.0,422.53000000000003
151A.T,（株）ダイブ,127.33331298828125,-193.11668640136725
145A.T,（株）L is B,646.0,314.47
147A.T,（株）ソラコム,566.0,4.34999999999981
148A.T,（株）ハッチ・ワーク,970.0,251.07000000000002
150A.T,（株）ＪＳＨ,197.0,14.579999999999973
143A.T,イシン（株）,942.0,441.87999999999994
142A.T,（株）ジンジブ,396.5,-27.555000000000035
141A.T,（株）トライアルホールディングス,-127.0,-913.8399999999999
5858.T,（株）ＳＴＧ,404.0,56.970000000000034
137A.T,Cocolive（株）,2327.0,1702.0
138A.T,光フードサービス（株）,40.0,-1362.2499999999998
135A.T,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,1060.0,-818.4000000000002
130A.T,（株）Veritas In Silico,1293.0,609.54
5871.T,SOLIZE（株）,-427.0,-1438.6999999999998
5892.T,（株）yutori,273.6666259765625,-6.743372802734406
5870.T,（株）ナルネットコミュニケーションズ,-17.0,-295.15000000000003
9223.T,（株）ASNOVA,77.0,-84.51
5621.T,（株）ヒューマンテクノロジーズ,33.0,-365.19
5869.T,（株）早稲田学習研究会,69.0,-270.92
5619.T,マーソ（株）,0.0,-627.03
5618.T,ナイル（株）,459.0,163.69000000000003
5868.T,（株）ロココ,255.0,-82.72000000000006
5867.T,（株）エスネットワークス,385.0,-61.70000000000002
5616.T,（株）雨風太陽,-57.0,-530.9300000000001
5599.T,Ｓ＆Ｊ（株）,245.0,-123.47000000000003
5891.T,（株）魁力屋,-809.0,-1484.1
5596.T,アウトルックコンサルティング（株）,372.0,3.8900000000000095
5597.T,ブルーイノベーション（株）,961.0,480.1799999999999
5595.T,（株）ＱＰＳ研究所,-107.0,-423.28000000000003
4197.T,（株）アスマーク,-400.0,-963.04
9238.T,バリュークリエーション（株）,509.5,183.86
5889.T,Japan Eyewear Holdings（株）,298.0,-54.260000000000005
5888.T,ＤＡＩＷＡ　ＣＹＣＬＥ（株）,241.0,-270.02000000000004
4811.T,（株）ドリーム・アーツ,111.0,-677.35
9237.T,（株）笑美面,418.0,-5.0499999999999865
5845.T,全保連（株）,-127.0,-338.1000000000001
6525.T,（株）KOKUSAI ELECTRIC,-465.0,-1319.47
9236.T,ジャパンＭ＆Ａソリューション（株）,-354.0,-1041.4099999999999
9235.T,（株）売れるネット広告社,81.0,-20.619999999999983
4896.T,（株）ケイファーマ,140.0,-81.26000000000002
5592.T,（株）くすりの窓口,160.0,-317.97
9331.T,（株）キャスター,994.0,500.21
5843.T,ニッポンインシュア（株）,228.0,11.020000000000024
6223.T,（株）西部技研,216.0,-563.74
2938.T,（株）オカムラ食品工業,132.0,-224.3
5591.T,（株）ＡＶＩＬＥＮ,378.0,-237.60999999999999
5589.T,（株）オートサーバー,424.0,-87.77000000000001
5590.T,（株）ネットスターズ,223.0,-53.04999999999997
6228.T,（株）ジェイ・イー・ティ,241.6666259765625,-135.66670776367187
3958.T,笹徳印刷（株）,196.0,15.209999999999997
5588.T,ファーストアカウンティング（株）,406.0,128.325
9330.T,（株）揚羽,843.0,467.9
5842.T,インテグラル（株）,52.0,-556.4199999999998
9168.T,（株）ライズ・コンサルティング・グループ,29.0,-233.76999999999995
5587.T,（株）インバウンドプラットフォーム,689.0,83.93
