Session,Time (JST),Trade Type,Entry Price,Exit Price,Profit/Loss,Target Reached
Morning,2025-04-22 09:10:00+00:00,Sell,5439.0,5429.0,10.0,True
Morning,2025-04-22 09:15:00+00:00,Sell,5445.0,5435.0,10.0,True
Morning,2025-04-22 09:20:00+00:00,Buy,5422.0,5432.0,10.0,True
Morning,2025-04-22 09:25:00+00:00,Buy,5394.0,5376.0,-18.0,False
Morning,2025-04-22 09:30:00+00:00,Buy,5374.0,5384.0,10.0,True
Morning,2025-04-22 09:35:00+00:00,,5374.0,,0.0,False
Morning,2025-04-22 09:40:00+00:00,Buy,5357.0,5367.0,10.0,True
Morning,2025-04-22 09:45:00+00:00,Buy,5346.0,5356.0,10.0,True
Morning,2025-04-22 09:50:00+00:00,Sell,5374.0,5373.0,1.0,False
Morning,2025-04-22 09:55:00+00:00,Buy,5370.0,5380.0,10.0,True
Morning,2025-04-22 10:00:00+00:00,Sell,5385.0,5375.0,10.0,True
Morning,2025-04-22 10:05:00+00:00,Buy,5362.0,5372.0,10.0,True
Morning,2025-04-22 10:10:00+00:00,Sell,5389.0,5389.0,0.0,False
Morning,2025-04-22 10:15:00+00:00,,5389.0,,0.0,False
Morning,2025-04-22 10:20:00+00:00,Buy,5383.0,5393.0,10.0,True
Morning,2025-04-22 10:25:00+00:00,Sell,5401.0,5393.0,8.0,False
Morning,2025-04-22 10:30:00+00:00,Buy,5393.0,5403.0,10.0,True
Morning,2025-04-22 10:35:00+00:00,Sell,5405.0,5395.0,10.0,True
Morning,2025-04-22 10:40:00+00:00,Buy,5395.0,5405.0,10.0,True
Morning,2025-04-22 10:45:00+00:00,Sell,5415.0,5405.0,10.0,True
Morning,2025-04-22 10:50:00+00:00,Buy,5408.0,5404.0,-4.0,False
Morning,2025-04-22 10:55:00+00:00,Buy,5404.0,5398.0,-6.0,False
Morning,2025-04-22 11:00:00+00:00,Buy,5397.0,5407.0,10.0,True
Morning,2025-04-22 11:05:00+00:00,Sell,5400.0,5390.0,10.0,True
Morning,2025-04-22 11:10:00+00:00,Buy,5394.0,5392.0,-2.0,False
Morning,2025-04-22 11:15:00+00:00,Buy,5392.0,5402.0,10.0,True
Morning,2025-04-22 11:20:00+00:00,Sell,5398.0,5388.0,10.0,True
Morning,2025-04-22 11:25:00+00:00,Buy,5391.0,5381.0,-10.0,False
Morning,2025-04-22 11:30:00+00:00,Buy,5381.0,5382.0,1.0,False
Afternoon,2025-04-22 12:35:00+00:00,Buy,5355.0,5365.0,10.0,True
Afternoon,2025-04-22 12:40:00+00:00,Sell,5367.0,5388.0,-21.0,False
Afternoon,2025-04-22 12:45:00+00:00,Sell,5389.0,5379.0,10.0,True
Afternoon,2025-04-22 12:50:00+00:00,Buy,5387.0,5377.0,-10.0,False
Afternoon,2025-04-22 12:55:00+00:00,Buy,5378.0,5380.0,2.0,False
Afternoon,2025-04-22 13:00:00+00:00,Sell,5380.0,5370.0,10.0,True
Afternoon,2025-04-22 13:05:00+00:00,Buy,5371.0,5375.0,4.0,False
Afternoon,2025-04-22 13:10:00+00:00,Sell,5376.0,5383.0,-7.0,False
Afternoon,2025-04-22 13:15:00+00:00,Sell,5383.0,5379.0,4.0,False
Afternoon,2025-04-22 13:20:00+00:00,Buy,5378.0,5364.0,-14.0,False
Afternoon,2025-04-22 13:25:00+00:00,Buy,5363.0,5361.0,-2.0,False
Afternoon,2025-04-22 13:30:00+00:00,Buy,5360.0,5370.0,10.0,True
Afternoon,2025-04-22 13:35:00+00:00,Sell,5371.0,5367.0,4.0,False
Afternoon,2025-04-22 13:40:00+00:00,Buy,5367.0,5367.0,0.0,False
Afternoon,2025-04-22 13:45:00+00:00,,5368.0,,0.0,False
Afternoon,2025-04-22 13:50:00+00:00,Sell,5375.0,5376.0,-1.0,False
Afternoon,2025-04-22 13:55:00+00:00,Sell,5375.0,5379.0,-4.0,False
Afternoon,2025-04-22 14:00:00+00:00,Sell,5379.0,5369.0,10.0,True
Afternoon,2025-04-22 14:05:00+00:00,Buy,5358.0,5367.0,9.0,False
Afternoon,2025-04-22 14:10:00+00:00,Sell,5367.0,5357.0,10.0,True
Afternoon,2025-04-22 14:15:00+00:00,Buy,5359.0,5356.0,-3.0,False
Afternoon,2025-04-22 14:20:00+00:00,Buy,5356.0,5353.0,-3.0,False
Afternoon,2025-04-22 14:25:00+00:00,Buy,5353.0,5352.0,-1.0,False
Afternoon,2025-04-22 14:30:00+00:00,Buy,5353.0,5363.0,10.0,True
Afternoon,2025-04-22 14:35:00+00:00,Sell,5356.0,5369.0,-13.0,False
Afternoon,2025-04-22 14:40:00+00:00,Sell,5368.0,5366.0,2.0,False
Afternoon,2025-04-22 14:45:00+00:00,Buy,5366.0,5364.0,-2.0,False
Afternoon,2025-04-22 14:50:00+00:00,Buy,5364.0,5364.0,0.0,False
Afternoon,2025-04-22 14:55:00+00:00,,5364.0,,0.0,False
Afternoon,2025-04-22 15:00:00+00:00,,5364.0,,0.0,False
