Target Profit,Stop Loss,Total Profit,Success Trades,Failed Trades
5,1,9179.0,1958,669
5,2,8552.0,1958,669
5,3,7942.0,1958,669
5,4,7322.0,1958,669
5,5,6740.0,1958,669
5,6,6167.0,1958,669
5,7,5641.0,1958,669
5,8,5173.0,1958,669
5,9,4685.0,1958,669
5,10,4272.0,1958,669
5,11,3929.0,1958,669
5,12,3672.0,1958,669
5,13,3331.0,1958,669
5,14,2997.0,1958,669
5,15,2735.0,1958,669
5,16,2507.0,1958,669
5,17,2245.0,1958,669
5,18,2026.0,1958,669
5,19,1849.0,1958,669
5,20,1662.0,1958,669
5,21,1528.0,1958,669
5,22,1446.0,1958,669
5,23,1269.0,1958,669
5,24,1146.0,1958,669
6,1,10365.0,1846,781
6,2,9632.0,1846,781
6,3,8919.0,1846,781
6,4,8197.0,1846,781
6,5,7539.0,1846,781
6,6,6906.0,1846,781
6,7,6341.0,1846,781
6,8,5821.0,1846,781
6,9,5293.0,1846,781
6,10,4832.0,1846,781
6,11,4432.0,1846,781
6,12,4115.0,1846,781
6,13,3758.0,1846,781
6,14,3411.0,1846,781
6,15,3106.0,1846,781
6,16,2948.0,1846,781
6,17,2694.0,1846,781
6,18,2452.0,1846,781
6,19,2308.0,1846,781
6,20,2120.0,1846,781
6,21,1985.0,1846,781
6,22,1920.0,1846,781
6,23,1725.0,1846,781
6,24,1603.0,1846,781
7,1,11347.0,1738,889
7,2,10506.0,1738,889
7,3,9703.0,1738,889
7,4,8898.0,1738,889
7,5,8167.0,1738,889
7,6,7493.0,1738,889
7,7,6898.0,1738,889
7,8,6310.0,1738,889
7,9,5716.0,1738,889
7,10,5207.0,1738,889
7,11,4762.0,1738,889
7,12,4419.0,1738,889
7,13,4060.0,1738,889
7,14,3694.0,1738,889
7,15,3404.0,1738,889
7,16,3203.0,1738,889
7,17,2959.0,1738,889
7,18,2718.0,1738,889
7,19,2572.0,1738,889
7,20,2387.0,1738,889
7,21,2230.0,1738,889
7,22,2157.0,1738,889
7,23,1941.0,1738,889
7,24,1798.0,1738,889
8,1,12092.0,1626,1001
8,2,11152.0,1626,1001
8,3,10264.0,1626,1001
8,4,9368.0,1626,1001
8,5,8614.0,1626,1001
8,6,7867.0,1626,1001
8,7,7250.0,1626,1001
8,8,6593.0,1626,1001
8,9,5979.0,1626,1001
8,10,5440.0,1626,1001
8,11,4989.0,1626,1001
8,12,4628.0,1626,1001
8,13,4262.0,1626,1001
8,14,3857.0,1626,1001
8,15,3517.0,1626,1001
8,16,3329.0,1626,1001
8,17,3069.0,1626,1001
8,18,2843.0,1626,1001
8,19,2673.0,1626,1001
8,20,2503.0,1626,1001
8,21,2366.0,1626,1001
8,22,2279.0,1626,1001
8,23,2045.0,1626,1001
8,24,1906.0,1626,1001
9,1,12763.0,1530,1097
9,2,11734.0,1530,1097
9,3,10803.0,1530,1097
9,4,9862.0,1530,1097
9,5,9068.0,1530,1097
9,6,8288.0,1530,1097
9,7,7637.0,1530,1097
9,8,7007.0,1530,1097
9,9,6372.0,1530,1097
9,10,5803.0,1530,1097
9,11,5333.0,1530,1097
9,12,4986.0,1530,1097
9,13,4599.0,1530,1097
9,14,4205.0,1530,1097
