Trade Type,Entry Price,Exit Price,Profit/Loss,Target Reached,Stop Loss Triggered,Session,Date,Time
Buy,9174.0,9198.0,24.0,True,False,Morning,2025-02-25,09:10:00
Sell,9187.0,9163.0,24.0,True,False,Morning,2025-02-25,09:15:00
Buy,9094.0,9073.0,-21.0,False,True,Morning,2025-02-25,09:20:00
Buy,9085.0,9109.0,24.0,True,False,Morning,2025-02-25,09:25:00
Sell,9106.0,9127.0,-21.0,False,True,Morning,2025-02-25,09:30:00
Buy,9102.0,9126.0,24.0,True,False,Morning,2025-02-25,09:35:00
Sell,9123.0,9144.0,-21.0,False,True,Morning,2025-02-25,09:40:00
Sell,9159.0,9180.0,-21.0,False,True,Morning,2025-02-25,09:45:00
Sell,9239.0,9260.0,-21.0,False,True,Morning,2025-02-25,09:50:00
Sell,9253.0,9274.0,-21.0,False,True,Morning,2025-02-25,09:55:00
Sell,9286.0,9307.0,-21.0,False,True,Morning,2025-02-25,10:00:00
Sell,9298.0,9319.0,-21.0,False,True,Morning,2025-02-25,10:05:00
Buy,9296.0,9275.0,-21.0,False,True,Morning,2025-02-25,10:10:00
Buy,9250.0,9274.0,24.0,True,False,Morning,2025-02-25,10:15:00
Buy,9229.0,9253.0,24.0,True,False,Morning,2025-02-25,10:20:00
Buy,9215.0,9239.0,24.0,True,False,Morning,2025-02-25,10:25:00
Sell,9256.0,9277.0,-21.0,False,True,Morning,2025-02-25,10:30:00
Buy,9255.0,9234.0,-21.0,False,True,Morning,2025-02-25,10:35:00
Buy,9240.0,9245.0,5.0,False,False,Morning,2025-02-25,10:40:00
Sell,9247.0,9249.0,-2.0,False,False,Morning,2025-02-25,10:45:00
Sell,9250.0,9226.0,24.0,True,False,Morning,2025-02-25,10:50:00
Buy,9245.0,9224.0,-21.0,False,True,Morning,2025-02-25,10:55:00
Buy,9217.0,9223.0,6.0,False,False,Morning,2025-02-25,11:00:00
Sell,9224.0,9245.0,-21.0,False,True,Morning,2025-02-25,11:05:00
Sell,9254.0,9251.0,3.0,False,False,Morning,2025-02-25,11:10:00
Buy,9251.0,9259.0,8.0,False,False,Morning,2025-02-25,11:15:00
Sell,9259.0,9235.0,24.0,True,False,Morning,2025-02-25,11:20:00
Buy,9234.0,9213.0,-21.0,False,True,Morning,2025-02-25,11:25:00
Buy,9157.0,9156.0,-1.0,False,False,Morning,2025-02-25,11:30:00
Buy,9130.0,9154.0,24.0,True,False,Afternoon,2025-02-25,12:30:00
Sell,9154.0,9130.0,24.0,True,False,Afternoon,2025-02-25,12:35:00
Buy,9149.0,9128.0,-21.0,False,True,Afternoon,2025-02-25,12:40:00
Buy,9129.0,9108.0,-21.0,False,True,Afternoon,2025-02-25,12:45:00
Buy,9105.0,9084.0,-21.0,False,True,Afternoon,2025-02-25,12:50:00
Buy,9080.0,9064.0,-16.0,False,False,Afternoon,2025-02-25,12:55:00
Buy,9064.0,9043.0,-21.0,False,True,Afternoon,2025-02-25,13:00:00
Buy,9046.0,9070.0,24.0,True,False,Afternoon,2025-02-25,13:05:00
Sell,9081.0,9057.0,24.0,True,False,Afternoon,2025-02-25,13:10:00
Buy,9079.0,9068.0,-11.0,False,False,Afternoon,2025-02-25,13:15:00
Buy,9069.0,9061.0,-8.0,False,False,Afternoon,2025-02-25,13:20:00
Buy,9061.0,9061.0,0.0,False,False,Afternoon,2025-02-25,13:25:00
,9062.0,,0.0,False,False,Afternoon,2025-02-25,13:30:00
Sell,9068.0,9044.0,24.0,True,False,Afternoon,2025-02-25,13:35:00
Buy,9043.0,9037.0,-6.0,False,False,Afternoon,2025-02-25,13:40:00
Buy,9038.0,9044.0,6.0,False,False,Afternoon,2025-02-25,13:45:00
